spot_0,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_29,spot_30,spot_31,spot_32,spot_33,spot_34,spot_35,spot_36,spot_37,spot_38,spot_39,spot_40,spot_41,spot_42,spot_43,spot_44,spot_45,spot_46,spot_47,spot_48,frame
145.9423,139.4231,104.4808,104.6346,102.6923,105,102.4231,103.8077,103.2308,103.4615,101.1923,103.1923,106.6154,106.2308,104.7115,102.9231,110.3269,104.7885,104.6154,104.7308,103.9423,104.4231,104.3846,110.6538,103.0385,110.4231,106.4231,102.8846,105.1538,103.5385,105.9615,106.6154,101.6731,111.8269,103.6346,109.8462,100.6923,104.7692,104.5385,103.2115,102.9231,103.8654,106.9423,104.4808,102.5,101.5962,106.7692,106.3462,111,0
145.1731,133.6538,105.75,104.8077,104.0962,105.2692,102.4423,102.0577,103.5769,104.3077,101.6154,104.1731,105.9231,106.5962,105.6538,103.6923,109.3846,105.8269,105.0385,104.5769,104.4808,103.1154,103.7885,110.4615,103.5577,109.3846,106.25,101.9808,104.6923,105.3077,104.3462,104.8654,102.1731,110.0192,102.75,109.5385,102.1154,104.3462,103.75,103.9808,102.9231,104.6923,107.5769,103.5577,101.8077,100.3462,107.8846,106.25,109.9038,1
137.0577,125.4231,107.5577,105.4615,104.0385,104.5192,102.4231,102.8846,103.1731,103.5962,100.0577,103.3077,107.3077,104.5385,104.7885,101.7308,109.3654,105.5385,105.2308,105.0192,104.0192,103.2115,105.0192,110.5577,105.1923,108.4423,107.5385,102.1923,106.0385,102.7885,103.9808,105.3077,100.9231,110.0962,104.9423,110.2692,101.6731,104.2692,104.6731,102.8846,102.5,103.4038,104.3846,104.4808,101.2692,101.25,106.3269,106.2308,108.5192,2
109.2692,110.1923,122.3462,104.7115,103.7115,106.2308,102.2692,103.7885,103.3846,103.3269,101.8077,104.0192,106.2692,104.2692,105.5,102.8077,110.1346,104.5769,105.4615,104.3269,104.4231,102.9038,103.7692,110.1346,104.7308,107.8654,108.2885,102.2308,104.2115,103.3462,104.7308,105.9615,101.6154,110.3462,103.6731,109.9231,101.8077,103.75,103.7308,102.9038,102.6154,102.0962,103.8269,103.8654,101.5385,101.5192,107.3654,107.8077,108,3
107.4615,104.9231,107.6346,130.7308,100.8077,106.7692,103.1731,102.0385,105.0192,102.9808,101.6154,103.6154,107.75,105.4423,105.0385,103.0385,109.7308,104.9423,104.7308,103.6731,104.2885,103.1923,103.8462,109.1731,105.8077,108.9231,107.4231,101.3269,105,104.1731,105.0192,104.0769,102.1346,109.7308,103.9615,108.5962,102.0769,105.6538,104.6731,103.1923,103.1923,104,105.5769,104.2308,101.3462,101.5,107.9038,107.5962,107.9231,4
106.1346,103.7308,107.2885,107.1731,120.7115,103.7885,105.3462,103.0385,104.0962,103.3846,101.8654,103.2115,106.4231,105.6154,104.2885,102.0962,109.1538,104.5,104.9038,104.4423,104,103.3654,103.0962,109.7692,106.5,110.6346,107.4615,102,103.7115,102.9231,104.25,104.1154,101.8654,111.4615,105.3654,108.5385,101.1538,105.5192,103.5192,102.0192,104.8077,103.7308,104.1154,104.8462,102.5192,103.2115,107.1346,108.0192,108.5577,5
105.7885,103.4808,106.4038,105.4615,123.8654,104.4231,109.1923,103.6923,104.4423,102.9808,102.75,102.4231,106.6538,104.3654,103.5769,102.3462,108.9615,105.3654,105.1538,103.5577,104.9231,102.6923,104.9808,111.1346,107.5,110.0192,107.5962,101.1154,105.5,103.8846,104.1346,104.25,101.6923,111.0577,104.4038,109.6538,100.4808,105.0769,103.9038,102.9615,103.8846,101.5192,102.6923,104.2692,102.8462,102.5577,106.1346,108.0577,109.0769,6
106.5192,103.4038,105.2115,105.4423,123.0769,108.0577,106.7885,102.75,104.0385,103.8462,101.8077,104.4615,105.6346,105.4423,105.2115,101.8654,112.5962,103.75,104.5962,102.9231,104.0192,103.1154,103.2692,109.4615,106.1346,108.5962,107.2115,102.7885,103.5385,106.3654,104.9231,103.2308,102.8077,110.8846,104.3077,109.0192,101.0385,107.3654,104.5,103.2115,104.6154,102.7885,102.6154,104.1923,101.9615,102.3269,108.1154,106.7885,107.6923,7
104.4615,103.2692,106.5577,104,108.9231,115.0769,113.7692,103.75,104.4231,102.8654,101.3269,105,107.2308,104.1346,105.9038,100.9423,112.0192,104.2692,104.7308,103.9423,103.7115,103.2885,104.2115,111.9423,106.1346,109.9231,106.5385,101.1346,104.5577,106.4423,104.9038,103.6731,101.8846,110.9615,104.0769,111.0577,101.5192,108.4423,104.4231,103.25,103.7115,103.6731,103.25,105.6538,102.2308,101.8269,109.4231,107.25,108.1923,8
107.0769,103.25,105.6346,103.8846,102.9615,109.4615,101.9038,103.25,105.8654,104,101.9615,103.4423,107.1346,104.9808,103.4808,103.2308,110.4038,104.6154,104.9231,103.7885,103.8846,102.1538,104.6923,110.75,108.8462,111.7885,107.1923,101.6923,105.4423,105.2692,103.8077,103.6538,101.5769,110.8654,103.4808,110.2692,101.7308,109.0577,104.5962,104.2885,103.2692,104.3077,103.8077,104.7885,101.2885,102.7885,107.3462,106.9423,109.1731,9
105.0577,102.7115,105.6731,102.3654,101.25,103.6538,107.9423,126.3846,112.3077,115.7885,101.5769,103.6731,109.6731,106.5385,103,101.5577,111.3077,104.6923,103.8654,102.5,102.8462,102.3462,104.4231,110.1538,105.6923,110.4423,108.2308,102.4423,105.8077,104.4615,103.7692,103.6538,102.6154,109.6731,105.4808,109.4808,101.9423,109.4423,104.2115,103.8846,103.2308,104.2885,102.3077,105.1731,102.6538,102.25,107.5,107.9423,108.9231,10
104.5385,102.3462,108.0962,104.1154,101.25,105.1346,105.8077,140.0769,108.5385,105.5577,102.3654,104.6538,108.5962,105.9808,105.3269,102.0769,111.5769,104.8846,103.6154,103.9038,104.2115,101.9808,106.1346,110.9231,108.1731,109.0385,109.0192,103.0385,106.75,104.2115,103.2692,105.3077,101.9038,108.7692,104.4423,111.25,101.3269,107.0769,104.3654,103.5962,103.4038,103.7885,103.1538,103.7308,102.7115,102.1346,107.0962,108.4038,111.8077,11
106.0962,103.3462,105.9615,106.1346,101.25,104.7115,109.3077,135.5385,110.4615,104.1731,101.4615,103.9423,108.2885,105.5577,103.7885,101.5962,109.6154,105.5385,104.4808,103.8654,103.5577,102.2692,105.8654,110.6923,104.9038,110.2308,106.1923,102.2885,107.0385,104.0962,104,104.4231,102.1154,108.25,105.6731,110.7885,100.9231,106.1346,104.9038,104.5,104,103.4808,102.4808,103.1923,102.1154,104.1346,105.5385,107.9423,111.8654,12
102.6923,104.8462,106,103.9615,101.0385,104.2885,110.7115,139.9038,110.7115,104.9038,100.9615,104.1923,105.8654,104.3654,104.5577,101.8846,110.5192,105.4231,104.4615,103.7885,103.8462,102.8846,102.9423,110.7885,105.8077,109.1731,107.7115,102.25,102.8077,104.4808,104.1731,105.3846,101.9038,107.9038,103.7692,110.4808,101.9615,106.2885,103.4615,105.6346,102.1923,103.4231,102.4808,104.9423,100.5192,104.5962,105.8846,109.5577,110.5577,13
103.1731,104.5385,107.0769,104.5192,100.4038,104.4615,110.0577,136.6154,110.8846,104.8846,101.7308,103.25,107.5577,105.5577,104.2692,102.8846,111.1923,103.5385,104.6538,105.3077,102.9231,102.4231,104.9038,111.1731,105.3654,108.3462,107.1346,102.2308,104.4423,106.4808,103.1538,105.3269,102.6731,109.5,104.0962,109.7115,102.0192,107.4808,103.8077,103.9231,103.4808,103.7115,102.9231,103.5769,101.6538,103.4038,104.3462,105.8654,109.3846,14
103.0962,104.5,107.3077,104.6538,101.1538,104.8269,107.0962,137.8846,111.0769,104.3269,101.0769,104.1923,107.9231,103.5962,103,102,111.8269,104.4423,105.5385,104.7885,103.1346,102.1538,103.4423,112.0769,106.1731,108.6538,106.2308,102.2115,103.8077,104.8077,103.1154,104.9423,103.1923,112.25,103.7115,110.9231,101.1731,104.9808,103.5192,104.6538,102.5962,104.2885,104.5962,105.7308,102.3269,103.4038,105.6731,107.0192,112.6923,15
104.3269,103.8462,106.3654,105.0769,102.1346,103.25,101.3077,137.3077,110.75,102.2308,109.6923,105.5192,107.4038,105.8654,103.6346,101.8077,112.2692,105.3846,104.0385,103.6346,102.9423,103.1538,103.4808,110.9615,105.8654,108.4423,106.3654,102.2115,103.9808,105.8654,102.6346,104.6538,101.9231,111.5769,102.9808,110.4808,101.3462,104.6923,103.0577,102.7885,102.4808,102.8269,104.3654,104.7308,101.5192,103.0962,107.75,107.4231,116.5962,16
104.5,102.9231,105.8654,103.2115,100.7308,104.9423,102.5769,134.8654,113.7308,103.9615,113.1731,105.5385,107.9808,136.9038,104.8846,102.2308,110.6731,103.7692,104.6731,103.5962,103.6923,103.0962,102.3269,112.0577,107.5385,107.6346,105.8462,100.6923,102.8462,106.5577,102.2308,104.7885,101.9615,111.5385,105.2692,112.1731,101.3462,104.0962,103.9808,102.9231,103.2692,103.0192,103.5,104.4423,102.2692,104.75,106.1731,107.5769,117.8269,17
102.6538,103.8269,106.0962,102.8654,100.75,104.25,104.9808,137.6731,111.0769,103.0962,113.5192,104.9038,110.4808,116.6731,117.0577,102.6154,110.8846,104.7115,105.3462,104.9615,103.6538,102.8846,103.4615,112.3846,105.8654,109.4808,105.1538,100.5962,103.8846,103.8846,103.25,105.8269,101.6346,110.0962,104.2692,112.7692,100.6731,104.8846,103.7308,104.2308,103.6538,102.9423,103.1346,105.75,102.2885,104.6346,107.3269,106.1731,114.9231,18
104.1923,104.4231,104.7692,104.9808,101.6154,103.4615,109.0769,136.4423,110.8269,105,108.1731,106.7115,107.75,112.6154,115.4231,101.9038,110.5385,105.2692,105.3462,103.3077,104.1923,102.5962,102.8269,110.7115,105.5962,110.0962,106.6923,102.5385,103.3846,106.1346,103.8654,105.5577,101.7115,108.6731,103.8269,110.5769,101.7308,103.5577,102.8654,105.4038,103.2115,104.4038,103.7885,102.2885,102.7115,105.7308,107.1923,105.5385,114,19
103.4808,103.1731,105.0769,103.2115,100.6154,103.0192,109,137.5769,109.5385,104.2115,104.4423,108.0192,108.3654,110.75,105.4808,102.9615,110.8462,107.8077,103.9615,104.3462,103.6154,102.0962,101.7885,111.4615,108.6538,108.9231,106.6923,102.3462,102.0769,105.9615,103.3462,104.9423,102.9615,111.3846,104.4808,111.0577,101.4038,102.9615,105.25,103.8654,102.9808,103.1538,103.1538,104.7115,102.1346,104.9423,106.7115,107.6923,111.1923,20
102.8654,103.9615,106.0385,102.4808,102.0769,104.0769,110.25,134.1346,107.7885,103.8846,102.4423,107.6154,109.5962,108.8269,102.8269,104.1538,110.9423,107.1346,106.1923,103.7308,103.9231,103.6731,103.4038,111.7885,106.4615,108.8846,106.4808,101.7692,104.3462,106.5192,102.3462,103.2115,102.9038,110.4038,104.5962,110.3846,100.7885,103.1923,103.5962,105.3654,103.5962,103.4423,102.9615,105.5962,101.9423,104.7115,106.8269,106.5962,109.3846,21
105.2115,104.4231,105.6538,102.8077,101.4423,104.75,107.3269,135.9808,108.1538,102.9038,102.4808,106,109.6923,108.7308,103.2692,102.6346,110.7692,106.5962,105.6731,104.2115,102.7308,103.7115,102.25,112.7115,107.1731,108.25,106.0385,101.0385,102.8462,105.9615,104.2115,102.7692,102.0192,111.6154,104.9423,112.3654,101.0962,103.5769,103.6346,102.2115,103.8077,103.0962,102.9615,105.1154,103.4423,103.6538,105.6731,107.7115,111.1923,22
104.6731,104.9231,105.1346,102.9231,101.3654,104.5,106.5385,134.1346,110.5192,103.6538,101.7115,132.3462,110.75,109.1538,101.4808,103.2692,108.9038,106.5192,105.8269,104.4038,104.0192,101.9615,102.1731,112.8269,107.6154,109.0192,105.6538,102.4808,102.2115,105.7308,103.1731,103.0962,102.8269,109.2308,104.8846,111.7692,101.7692,104.7692,102.8462,103.1154,102.3462,104.0385,102.0577,104.1923,108.5577,103.3269,107.6154,107.8846,110.9038,23
104.3654,101.9615,105.8269,101.7115,101.7308,105.1731,107.5962,133.8269,111.1154,103.3462,101.7115,133.1923,109.0577,109.0192,101.5962,103.1346,111.6154,107.6731,104.5577,105.0577,104.6154,102.6731,102.5,111.75,107,108.3269,106.7885,101.0769,102.6731,104.9231,104.2885,103.7308,103.0577,109.1731,104.9615,111.3654,101.5962,103.7885,104.8654,104.6154,102.1923,103.5,102.9808,104.1923,103.6923,105,109.1923,106.1346,112.1346,24
105.6346,104.7692,106.9231,102.6923,100.1731,104.4808,107.8462,136.3269,109.2885,103.3077,101.8077,123.3462,107.7115,107.2885,102.0192,102.8269,112.9423,107.3269,105.6731,103.9423,103.0962,102.9423,102.5962,111.7885,107.2692,111.0385,106.3846,103.4038,103.4423,106.1154,103.5962,103.3846,103.0192,109.3846,104.5192,110.9808,100.3654,101.9615,103.6923,102.7885,102.4615,103.3462,103.3462,105.4231,102.1346,102.5577,106.9038,106.5192,111.6154,25
104.2885,104.1154,105.9038,103.7115,100.5,104.7692,108.0192,139.9615,107.9231,102.9038,100.8654,109.9615,109.1154,106.5577,101.75,102.3654,111.6731,106.5962,104.5385,102.8462,105.5962,101.4423,103.0769,112.1923,107.8077,110.3462,106.9808,101.8269,103.1923,104.7692,105.5962,103.0962,102.1923,109.7885,104.2692,110.9231,101.5385,101.4423,104.1731,101.9808,104.2692,103.3846,104.6346,104.2308,101.2308,102.2692,107.6346,104.1154,111.6154,26
102.9808,102.4038,106.1346,101.9038,100.9615,105.1538,109.4808,136.5962,109.1731,102.75,101.1923,105.2115,107.8462,107.5962,102.4615,102.8462,109.9231,107.5192,104.6538,104.0769,103.6923,102.3654,101.7308,111.2692,106.0192,108.25,105,101.8077,102.5577,105.4231,105.8846,103.5962,101.8269,109.8462,105.5962,109.9808,101.4808,104.6731,103.7115,102.9808,103.1923,104.6346,102.6731,104.4038,102.1346,103.3654,106.9808,104.8077,113.8846,27
103.2308,103.6731,106.1538,102.4808,100.3846,104.1538,107.6346,132.7692,109.4231,101.7308,102.3269,106.4808,144.4038,104.8846,101.6346,101.9423,109.4808,106.3077,105.6154,105.6538,103.2692,103.3077,102.7692,110.1346,106.8846,108.0385,105.7692,101.4615,103.3077,105.0769,105.5769,104.1923,101.3077,107.5,106.2692,108.6154,100.5962,102.5385,103.7308,102.2692,104.9808,102.9038,102.4808,104.3462,101.9808,103.1538,108.2308,104.3462,110.7308,28
104.1923,104.1346,104.0962,101.8462,101.2308,105.2308,107,133.7885,109.9808,103.1346,102.0962,104.25,150.5577,106.25,102.5962,101.4423,111.3846,105.5,104.9038,103.5,103.9231,104.2308,101.7308,111.1538,107.6538,108.2692,107.1154,101.3654,101.7885,104.8462,103.0192,104.0385,102.0385,110.8654,105.2308,110.3269,101.1923,102.1731,103.9038,102.2308,102.5192,102.8269,103.1154,105.0577,102.3846,103.7692,107.9423,104.8462,113.0192,29
104.4808,102.8846,103.8077,101.9231,101.9038,104.7115,107.1923,128.7115,109.3462,102.5769,101.1346,108.2308,151.4423,107.1538,101.2308,102.4231,109.4231,106.4615,103.9615,104.1154,102.9808,102.6346,102.6538,111.1538,105.5577,108.9808,107,101.2885,103.3654,107.1731,103.8654,104.1538,100.9808,109.8269,105.0192,110.7692,101.8077,101.5,103.9231,102.5962,101.6346,103.75,104.25,104.4423,101.0769,104.6538,106.4231,105.5192,114.5577,30
101.9231,102.8846,103.9423,101.1923,100.7308,102.9808,109.0192,122.6346,110.6154,103.1346,100.8654,105.0769,157.5577,106.6154,101.4615,105.0192,109.0385,106.4615,104.7115,104.4808,103.6346,103.2115,102.3846,111.8846,108.5385,106.4615,105.8654,102.25,102.9808,106.0385,104.9808,104.9615,101.2115,112.0962,106.4231,111.9038,101.4038,103.3269,105.0385,102.8654,102.0962,103.9423,103.1538,104.6923,101.6923,103.4423,106.0577,105.4231,117.4423,31
102.3462,103.4038,104.6346,101.1346,100.6538,103.7115,108.0577,113.4038,111.5,104.5769,101.8077,105.0962,155.0385,105.4808,100.7692,120.5769,109.0385,108.1154,105.5962,103.8846,103.1923,103,101.9808,112.0385,107.8462,105.5577,106.1154,103.0962,102.25,106.6154,103.5,103.1731,101.0577,108.9038,105.1731,112.2308,100.9808,102.7308,102.5962,103.1154,102.25,103.4038,102.3846,103.75,102,103.2308,109.2692,103.7115,113.5769,32
103.1731,102.7885,105.1154,101.4808,102.0385,105.7308,106.9423,106.4038,108.9808,103.0385,101.8462,104.9423,145.1346,106.0192,101.8077,105.8654,128.3077,107,104.0962,103.1731,102.7115,103,103.1154,111.6923,110.4423,106.1154,105.8269,101.9615,103.6346,105.4615,104.9615,104.0577,100.8846,109.6154,103.75,112.1731,101.1731,102.1346,104.3846,102.9423,103.8846,104.3077,102.1346,104.7692,101.1731,105.2115,108.7692,105.6538,113.7115,33
103.5,101.5769,106.1731,101.75,101.7308,106.3077,105.2885,105.9615,113.4231,103.9231,102.6731,105.4231,152.0962,104.5,102.5577,103.6923,111.1923,120.75,103.4038,103.5769,103.1923,104.5962,103.2308,111.75,109.5385,105.9808,106.3269,102.1923,103.25,105.4615,103.4038,103.1346,101.4615,111,104.6346,111.0385,101.7308,104.2115,104.2692,102.7692,103.2885,102.6923,103.1731,105.6346,101.4615,105.75,109.4423,104.5385,111.5,34
106.0192,102.3654,104.4808,102.3269,101.3654,104.0192,106.7692,103.7692,111.1923,104.1923,101.4231,103.5192,147.6923,105.5192,102.6731,103.1731,111.0192,136.8654,104.0385,104.5577,103.9038,103.5192,101.7692,113.4615,108.1154,105.3846,106.4808,102.1731,102.6154,104.5769,103.5385,104.4808,100.3462,107.7308,106.6538,114.1346,101.1923,102.5769,104.4038,103.6154,103.5192,104.5577,102.6346,104.9615,102.5962,103.4808,107.0385,105.5577,112,35
103.4808,102.7115,104.7308,102.5385,101.5385,105.0962,110.4808,103.1923,111.4231,103.0962,101.5769,103.8269,140.4615,105.9423,102.25,103.2115,112.0769,112,118.2115,103.7115,104.6346,103.4615,103.1154,112.2885,108.4615,104.5577,107.7115,100.7885,103.4423,105.7115,104.1154,104.3654,100.4231,109.8846,105.7885,112.3269,100.8462,103.7692,104.3462,103.4423,103.75,103.0192,102.6538,106.2308,101.6731,105.0962,107.0769,104.4038,109.6538,36
103.5385,103.1731,104.9615,101.25,101.1923,104.25,107,102.8077,113.5385,102.7885,101.5577,104.9231,114.2308,105.0769,100.8077,103.3077,108.3462,109.4808,129.9615,105.7115,104.0385,102.4038,103.1731,112.2692,105.8654,104.2692,108.2885,101.8077,103.9231,106.2692,104.9038,104.2115,100.4038,107.75,104.1731,112.8269,101.5,101.8654,105.1538,102.6923,104.8077,103.1346,103.5962,105.4038,101.4423,104.2692,105.8654,106.4038,112.5769,37
102.9231,101.7308,105.0577,101.5577,100.5769,105.1538,101.1538,102.8654,108.1538,103.1731,100.9423,104.5192,107.2885,104.9615,101.4038,102.0962,109.1731,107.6538,131.4615,114.9038,102.7885,103.5,101.7308,109.9808,105.9231,104.2308,106.6346,101.5577,102.3846,107.2692,103.4615,105.2115,100.9615,108.2692,105.1346,109.5192,101.4038,103.2692,104.4038,102.4615,103.2692,107.4615,104.1731,103.5192,101.4038,103.1154,106.5,106.2115,111.9615,38
104.8077,102.5769,104.3654,101.5192,101.5962,105.4423,103.2308,103.5577,109.8846,104.1154,101.0769,102.5577,105.5577,106.1923,101.25,102.8462,109.8077,104.8269,118.9423,106.4423,103.4808,102.8846,102.6731,111.1154,108.1346,104.1154,104.75,101.2692,102.6538,106.1923,103.8269,105.3077,99.9808,108.2115,105.1731,110.8654,101.1538,103.6923,103.75,103.2692,103,105.6731,103.1731,104.1154,101.6731,103.9423,107.7885,106.3846,113.5192,39
103.6154,102.7115,104.5962,102.2115,100.8654,104.9808,102.6154,103.4423,109.5192,104.9615,101.5769,102.9423,106.25,105.8654,102.4808,103.1538,107.9423,105.6538,108.6538,107.2308,103.5385,105.3462,102.75,112.4615,106,104.3654,107.3269,101.1346,102.8654,107.5385,103.75,105.4423,101.0962,110.8269,104.7115,112.4423,101.1923,103.3846,105.5385,101.7308,103.6923,106.2308,103.4808,104.1731,101.4423,103.9038,107.6923,105.7115,113.8462,40
104.9423,103.0385,103.9808,101.8269,100.25,104.2885,102.25,102.8654,110.9615,103.8654,100.9423,104.2885,105.0385,105.5192,101.5962,100.9423,107.6923,107.0577,107.25,107.6538,112.6923,104.3077,102.1923,113.5577,105.2885,104.4808,107.3462,101.0962,102.5192,106.8462,103.5577,105.8846,100.7115,108.2692,103.7692,113.6731,101.1154,102.0769,105.1154,102.5577,105.1731,105.1346,102.5577,103.3654,101.2115,104.25,107.1731,104.1346,110.1346,41
104.6538,102.9038,103.4231,102.1346,100.75,103.8077,102.0962,101.5962,109.6923,103.4038,100.5385,103.8269,104.9423,104.9808,101.2308,102.0577,109.4231,105.9038,105.4615,106.0769,111.1346,102.9423,101.7885,111.4808,107.0385,104.7692,106.9423,100.3654,101.2115,106.4038,105.3654,106.3077,100.3654,108.2115,105.1538,111.9231,100.1731,103.0385,104.5962,102.3077,104.25,104.8077,103.25,104.6923,101.5577,104.6154,106.1923,105.7308,112.1731,42
102.8654,101.8654,105.5769,102.3846,101.7885,104.8654,102.5577,101.6154,110.2885,104.0385,102.5192,105.5,105.8077,106.25,101.8462,103.8077,107.8077,106.6346,105.2692,106,113.4038,104.3077,102.0577,113.25,105.6731,104.6346,106.4423,101.3077,101.9808,106.9231,103.3077,104.9808,101.4231,108.7692,105.1923,113.0962,100.8077,103.2115,104.3462,101.7115,105.2885,104.1538,103.6346,103.6538,101.5385,104.75,106.6923,108.2308,109.2692,43
102.0385,102.8654,104.4615,101.1154,100.4423,105.0385,103.5192,102.3462,110.6154,103.5577,101.7308,104.5192,107.0962,104.3462,102.8654,104.3654,110.5769,107.5385,105.9231,105.6923,113.0769,103.5769,102.2885,112.6923,106.9808,105.1154,105.8269,102.1346,102.0769,104.2885,103.5769,104.0769,100.6154,108.8462,105.3462,112.25,101.1923,104.4808,105.5192,102.75,116.9615,104.3654,104.5192,104.5,101.6923,103.5962,146.8269,106.5192,109.7885,44
103.1346,103.0769,104.4423,102.0577,100.8654,105.4808,102.2308,103.3077,109.6538,103.3462,100.8462,103.2885,103.9615,104.3654,101.75,103.4231,110.1538,106.3269,105.9615,106.0769,113.25,103,103.1154,112.25,106.8269,106.4038,107.2308,101.0192,102.7885,105.8077,104.6346,105.1154,100.3846,109.0192,105.8654,112.4038,101.5192,102.5577,104.5385,102.1346,107.8654,103.6346,102.2692,104.0769,102.1346,102.5385,136.9615,106.3846,111.3269,45
103.3462,102.4808,105.0577,102.4615,100.9615,104.9808,102.75,102.5192,110.4615,103.5962,100,104.0385,103.6154,104.4615,100.9231,101.2308,108.0385,106.4038,104.5577,106.3462,113.9231,102.3846,103.9615,113.1346,106.5962,105.2115,105.3269,101.8462,103.4615,105.7308,103.5577,106.4615,101.6346,109.4808,106.3077,113.1731,100.9423,104.2692,104.9615,102.5577,106.5,104.9423,102.1538,104.4615,101.6538,103.3462,111.5577,106.5192,110.3846,46
102.1538,102.2885,105.25,101.8654,100.3077,106.9808,101.8654,102.2692,111.8269,102.1346,101.8077,105.1538,103.9808,104.2115,102.2308,102.4231,109.0577,105.7308,104.4808,106.9615,102.75,104.6538,102.5769,113.9423,107.5769,105.2885,107.3462,101.7308,102.3269,106.5192,102.7692,106.3269,100.6154,109.8846,105.4615,113.5769,100.8077,104.4038,105,103.4038,103.4038,103.8077,103.8846,104.0577,102.25,103.9615,105.8654,106.5577,108.7308,47
103.6346,103.25,105.3269,101.3269,101.1538,106.9038,102.9038,101.5769,109.0192,101.5769,100.9615,104.3077,104.4231,105.5385,100.1731,102.6154,108.6538,105.3654,104.6923,103.8462,102.4423,103.5962,101.25,113.1731,107.8846,105.7692,107.9423,101.1538,101.1346,105.2115,103.5385,104.6538,100.9231,107.8077,107.2115,113.3654,101,104.6731,104.2885,104.0192,104.1346,104.75,105.75,103.2885,100.6731,104.5,107.2885,106.3846,108.3654,48
102.8846,102.8846,105.5577,101.8077,100.75,104.5,101.7885,101.8654,109.9615,101.9615,100.1346,103.7885,103.4615,103.4615,102,102.1923,108.9615,105.25,105.9615,103.6538,102.4808,103.0577,101.6731,116.4231,106.5385,103.7885,105.1154,101.4038,101.6731,105.8846,103.5769,106.7308,101.3654,109.6923,105.2692,116.3846,101.5192,104.0192,104.7692,103.5962,104.9231,103.8462,104.0962,105.8269,102.1538,104.0192,108.1346,107.3269,107.3077,49
