spot_0,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,frame
101.4038,102.1538,102.2885,101.8269,102.0192,102.7885,102.2885,101.6538,101.2885,103.3462,100.8269,102.7692,104.0577,100.9615,101.7308,101.3846,0
101.6346,102.4038,101.5962,104.4038,101.6731,103.1731,101.2692,102.25,101.2885,104.4808,101.0962,103.3269,102.2885,101.6731,102.0962,101.1154,1
102.1538,101.5962,102.1154,103.75,103.0962,102.3654,102.1538,102.4423,102.0385,103.1731,101.7692,103.4423,102.6923,101.2115,102.5192,101.2115,2
102.4231,102.1923,102.1923,102.2308,102.7308,102.8654,101.4615,101.8269,101.2692,105.5192,100.7115,102.5192,103.6923,101.1923,102.2308,102.3654,3
103.7692,102,102.2308,103.1346,102.1923,102.6346,101.3269,102.4808,102.8654,106.7692,100.7115,102.6346,102.0385,101.6923,102.3846,102.0385,4
103.1923,101.5769,101.7115,103.3654,102.5769,103.8846,100.8654,102.3269,101.9808,105.1538,101.4231,103.75,102.4808,102.25,102.9615,101.7692,5
103.4038,102.8846,101.4231,103.7115,102.0577,103.1346,101.2308,102.8462,101.1923,104.9231,100.9038,102.7692,102.6731,101.5192,103.3654,101.8269,6
101.6154,101.75,101.9038,105.1154,103.9423,102.6154,102.0577,102.25,101.1731,105.9808,100.4038,102.7308,101.8462,102.2115,102.4615,101.9615,7
102.4423,101.2115,102.3654,103,103.3077,103.6154,100.7885,103.2115,101.5385,105.0769,100.9615,103.7692,101.9423,101.4231,103.5,101.75,8
103.4038,101.9808,101.2308,103.1154,102.25,102.5192,102.2308,102.0385,101.0962,104.4808,100.7308,102.8846,101.9423,101.6731,102.0962,101.5,9
103.4038,101.6731,101.1731,103.3654,101.5962,102.6923,101.7692,104.4038,102.2308,102.2885,101.6923,103.9423,102.8846,100.9038,102.5,101.0192,10
103.1923,102.6346,101.75,103.4423,102.1731,102.5385,101.1154,102.25,101.8846,101.8462,100.4231,104.3846,102.8462,101.2885,101.9423,102.2692,11
102.3846,101.3846,101.2308,103.3077,102.1154,102.5769,101.4423,102.2115,101.5962,101.2308,101.0577,102.9423,103.9038,101.9231,102.4615,100.7885,12
104,101.9808,101.2115,101.8462,102.4808,102.3077,101.3077,101.9038,101.6923,102.1154,100.7115,102.6923,103.0577,102.6731,102.3077,102.3077,13
103.1346,102.4615,101.5385,103.7692,102.1731,103.2308,101.4038,102.5192,102.9808,102.4038,100.75,104.2885,101.8846,101.7308,103.0769,101.8846,14
104.4808,102.5577,103.6538,103.2308,102.4808,103.4038,102.3846,103.0385,102,101.5,100.5769,103.2692,101.6538,101.9038,102.8846,101.6538,15
103.9615,101.2692,101.6538,103.3846,101.8654,103.5962,101.9808,102.6731,102.4231,102.4038,99.6538,102.7115,102.4423,101.9231,103.5769,101.4615,16
104.0385,102.7115,101.7308,102.8269,102.3269,102.4423,101.6154,102.8077,102.1731,102,100.1923,102.0577,102.5,101.0962,102.6923,102.25,17
103.25,101.6731,101.3654,102.9808,102.9038,103.0769,102.3462,103.3269,101.1538,102.3846,100.5192,103.3269,102.7308,101.4808,102.5962,101.4038,18
102.75,102.5769,101.0769,102.9231,103.0192,104.2692,103.1731,103.6346,103.5,101.9615,99.6538,102.2308,101.4808,100.9231,103.3654,102.5769,19
103.1154,102,100.7115,103.5,102.6731,102.2115,102.1154,102.9231,100.8077,100.6346,100.2885,102.3846,102.4038,101.3654,101.9038,101.5192,20
103.2115,102.3462,101.2885,102.7115,102.6538,102.9808,104.0192,103.0192,102.1538,101.5769,101.1731,102.3462,101.8269,101.4423,104.3462,101.3846,21
102.8654,102.7115,102.1346,102.5192,102.4615,102.6731,102.0577,102.2115,101.7692,102.0385,100.0769,102.6346,102.3654,102.5,102.4038,103.1154,22
110.8846,102.5192,103,103.3654,102.3846,101.75,102.1346,101.9615,101.2308,102.8077,101.5385,102.9615,101.7115,101.9231,101.5962,101.6538,23
103.1154,102.1346,101.5192,103.1154,102.4615,102.4423,101.7308,103.0385,101.1538,100.6923,101.9615,102.4231,103.0769,103.3654,102.5769,100.3654,24
103.3462,102.25,101.4423,103.0577,102.0769,102,102.1154,102.3077,101.4615,101.6731,100.4808,102.4231,101.7692,102.1154,102.4231,102.1346,25
103.4423,102.0385,102.1923,102.9615,103.0577,101.5192,101.5962,102.6538,100.7885,103.2308,101.3269,101.6346,102.1731,101.5962,102.2308,102.5192,26
103.3269,102.5,102.0385,103.1731,102.0385,103.2308,101.8269,102.5577,100.8462,102.4615,100.8846,102.4615,101.3846,102.6538,101.8462,102.0962,27
103.5,102.9231,110.3846,101.5,102.7115,101.9231,102.3462,103.4038,102.0385,101.4038,101.4615,102.8077,102.1731,102.0962,102.7885,102.8077,28
103.5,113.5192,108.8654,102.5962,102.7885,103.9423,102.1346,102.1538,101.8654,102,101.4423,103.6923,101.8077,100.9038,102.6923,103.7115,29
104.5385,112.0385,105.0192,101.9615,102.3654,103.2115,102.3077,102.6923,102.1154,101.6923,101.3462,103.2692,101.4423,101.3077,103.0192,102.8077,30
102.5769,110.1346,102.5962,102.75,102.7308,102.9231,102.2885,101.8077,101.3269,101.0385,101.5192,102.25,102.6923,101.1346,101.8462,102.2692,31
102.8462,106.5192,103.6154,103.3462,101.6923,102.5,101.2692,102.5192,102.1346,100.8654,101.4808,101.8846,102.7308,100.6154,102.6538,103.3269,32
102,105.25,103.2308,102,102.9615,102.8269,102.2692,102.0577,102.2115,101.0192,101.8846,102.5769,101.0769,100.7115,102.2692,101.5192,33
103.7115,102.6346,103.0769,103.3269,103.1154,103.2115,102.4615,102.3269,101.7115,101.1346,101.7692,102.0385,102.9808,101.1154,101.4038,104.2115,34
102.8077,102.4423,101.1154,102.2308,102.5192,106.2115,101.9423,103.0192,102.3846,100.5192,101.2885,101.9615,102.1538,101.6923,102.4231,103.0769,35
101.9231,102,102.3077,102.0769,101.25,107.1538,101.7308,103.25,102.4231,101.1923,101.7885,102.4231,102.4615,101.1923,102.5,102.4808,36
102.6154,102.1923,101.9038,114.4423,101.75,108.6538,101.0577,103.6731,102.1923,101.4231,102.5,102.3846,102.6731,101.3077,102.3462,102.3846,37
101.5769,101.7308,103.1346,104.5,102.1538,106.5,101.5769,102.3077,101.2885,101.7885,104.7115,103.2692,101.8462,101.4423,102.4808,102.0577,38
102.4231,102.4423,101,102.0577,102.2692,107.7308,101.3462,102.5577,102.1154,101.9615,100.8462,102.0192,102.5962,101.5192,102.8846,101.4038,39
102.1731,102.5769,101.0577,102.5,117.9038,112.6154,101.1154,102.9615,102.0577,101.7692,101.2308,103.2115,103.0962,100.9038,103.3462,101.9808,40
102.4231,101.2308,100.8654,103.8846,108.7115,107.6154,102.1154,102.8077,102.3077,101.3269,101.6923,100.8654,103.3462,101.3654,102.5,102.5962,41
101.5962,99.6154,101.0577,102.3654,103.0769,108.7115,101.5192,102,101.9231,101.1923,101.2115,102.0769,103.0385,100.5962,101.4231,100.7115,42
102.7308,102.1346,101.4038,103.7692,102.6923,105.9808,101.3269,102.9615,101.3269,101.7692,100.7692,102.8269,103.4423,102.4038,102.9038,101.6154,43
102.4038,102.9615,100.8462,103.0577,102.2885,106,101.3462,103.0577,100.9231,101.0769,100.8462,101.8269,103.7115,100.3269,102.2692,103.0962,44
102.5,101.1154,100.4615,103.7308,101.5577,106.6731,101.0962,102.0962,102.4038,101.1346,100.0192,103.6538,102.8654,101.9423,102.8462,101.0577,45
103.5769,101.8269,101.3462,103.6346,101.8846,106.9423,108.8269,101.7692,101.8846,100.4231,100.3846,102.0962,103.1923,102.0385,101.9615,101.7885,46
101.9231,101.1731,101.4038,101.9038,102.5385,107.0962,102.5962,102.3077,101,102.3077,100.0385,102.2692,102.9808,101.6538,102.8462,102.3269,47
103.9615,101.8462,102.0577,102.4423,102.5769,106.4615,101.0769,102.7308,101.3269,101.0385,100.5192,101.8462,102.5,101.6731,102.1731,102.5962,48
102.2115,102.25,101.1154,102.3462,102.0769,106.1923,102.4615,101.8846,101.0577,100.9808,100.3846,101.8846,104.7115,100.9038,101.4615,102.0192,49
102.5577,100.9038,100.6923,102.2308,102.0192,106.7115,101.4808,102.1154,101.3462,100.9038,100.7115,101.9038,103.4423,100.75,101.9423,101.4615,50
102.75,101.2692,100.9423,102.1538,102.7308,106.2115,101.5769,102,101.5769,101.4615,100.75,101.7885,102.3846,101.1538,101.4615,101.9808,51
102.2308,100.4808,101.5385,102.3846,102.9423,103.7308,101.1538,101.7692,101.1154,102.1923,101.7692,101.7692,103.5577,101.1346,102.0385,101.5,52
102.5577,101.1538,101.5,102.6346,103.5192,106.5769,103.3077,102.4615,101.7885,101.3654,100.7885,102.1731,102.6538,113.6731,102.4423,100.75,53
101.6538,101.4808,100.9038,102.2308,102.2885,105.1154,102.0769,102.7885,101.1731,101.7115,100.6346,101.1923,102.75,103.7692,103.4423,101.3846,54
101.9038,101.5577,101.1346,102.4038,101.2692,105.4615,101.8654,102,100.6538,102.1154,101.0577,102.5962,101.9808,103.1731,101.1923,102.0769,55
101.6538,102.1154,101.6154,102.6731,102.2308,106.5,101.3654,102.25,101.8846,101.1538,100.7885,101.9231,102.8846,101.9423,101.7308,101.7885,56
102.0385,101.6731,101.9038,103.5192,102.1923,104.9423,101.25,101.8654,101.1731,101.9615,100.9423,102.2308,102.75,101.3846,102.8077,103.4808,57
102.1154,101.0192,102.1154,102.2115,102.0192,103.1731,101.6346,102.5385,101.8654,101.3269,100.6923,102.0192,102.6154,101.3654,102.9615,102.3077,58
102.2885,102.7115,103.3077,102.1538,101.9808,104.7115,101.7692,101.6154,102.3077,102.7692,101.7115,101.1538,102.3269,101.0192,102.1346,102.8846,59
102.9615,102.4038,101.1346,101.8462,102.1154,103.7115,102.7308,101.6731,101.75,102.9038,100.6154,101.6731,102.5192,100.6923,101.9423,102.75,60
102.4808,100.6154,101.5,102.4615,102.8462,105.25,101,101.8077,100.9615,101.5385,100.75,101.9808,102.3462,100.9038,101.8846,102.4615,61
102.7885,100.7885,101.3846,102.3077,101.5577,103.4808,102.1154,126.75,101.1538,101.8077,100.3077,101.9808,103.75,101.3654,114.5385,102.0192,62
101.9808,101.0962,100.0962,103.0769,100.8077,103.9808,101.7115,124.7308,101.5962,102.5577,100.3077,101.8077,107.9231,102.3077,113.6923,102.6538,63
101.2692,100.2885,101.3077,102.9231,101.3846,102.75,101.1154,119.1731,101.7885,101.75,100.6923,101.9423,107.8269,101.0192,118.8269,105.4038,64
102.6538,100.75,102.1346,102.75,101.6538,103.6154,102.2692,116.5577,102.1923,103.0577,100.1923,102.4423,109.8654,100.75,115.6731,103.4615,65
103.4615,101.3654,102.7308,101.9231,101.0962,102.9038,101.7692,114.9808,101.8462,103.3462,101.2308,101.4615,103.6154,101.0192,114.8654,102.5769,66
101.8462,101.0962,101.5385,101.4038,102.7115,102.0577,103.3846,111.1731,101.5,101.9231,100.25,101.8077,102.25,100.1346,109.5962,102.6731,67
101,101.1538,101.4808,102.3462,101.3846,101.8269,103.1346,103.7115,100.25,103.9038,100.1538,101.0769,102.5962,101.5192,103.5769,102.8269,68
101.1346,101.4231,101.9231,102.4038,100.7885,101.3077,101.9808,102.2692,101.2692,103.1923,100.1923,101.2115,101.3269,101.8654,102.8462,101.5577,69
102,100.7692,101.5962,102.0962,101.5385,102.7308,102.8077,101.5385,101.8269,103.0192,99.75,102,101.7308,101.2885,103.5,103.1154,70
101.6346,101.9038,101.2885,102.2115,101.2115,102.5192,102.0192,102.7692,101.6346,102.6538,100.9231,101.9038,101.2115,100.8077,108.8077,101.9615,71
101.6538,101.9231,101.5,101.9808,102.1154,102.5577,101.2692,102.5962,101.9231,104.0385,100.9615,101.75,100.6346,101.7885,109.5577,102.5385,72
102.2692,101.9038,101.2115,101.6538,100.9038,103.3654,101.9615,102.9423,102.3654,103.3077,100.6154,102.7885,100.8654,100.9038,110.1538,102.9231,73
102.4231,101.2885,101.1346,101.7115,102.4808,102.7692,103.1538,102.7885,100.9615,103.6731,100.5769,102.7115,100.5962,101.4615,103.8077,102.8846,74
101.9615,101.1538,102.2308,102.25,101.4615,103.0769,103.8077,101.4231,104.1731,102.1538,100.25,101.6154,100.6538,100.9231,101.7692,102.7115,75
101.2692,101.5,101.75,103.0769,101.0962,101.4423,101.6923,101.4615,101.9808,102.8846,100.1731,101.5385,101.8077,99.7885,100.4231,101.7885,76
102.2308,101.4038,101.5192,102.4423,100.6346,101.9231,101.5577,103.25,102.2692,103.7115,100.7115,101.8269,100.9808,101.3654,101.7115,101.9038,77
102.3269,101.5962,103.1346,101.1346,100.4231,103.1731,101.7308,101.4423,109.9038,102.3846,100.3846,101.75,101.2308,100.4808,101.25,102.6346,78
102.4808,100.8462,100.9615,101.6731,101.2885,103.0577,100.4038,102.5962,104.5577,103.6923,101.3462,101.1538,100.25,100.4615,102.1923,102.2692,79
102.2308,101.1923,101.8077,101.5577,101.0577,102.9423,101.1923,100.7692,103.1154,102.8462,100.6346,102.4615,101.7308,100.2885,101.7115,102.1731,80
102.4038,100.8462,102.0769,101.1346,102.3654,102.0192,102.4808,101.5962,101.3077,102.5,100.6731,101.6346,100.8462,101.7115,101.1731,102.9615,81
101.3077,101.0192,101.3462,101,101.1538,103.4615,101.4615,101.3077,101.9615,103.1154,100.2115,101.75,100.9231,101.4423,101.4038,101.5577,82
101.9038,101.9231,100.5,102,101.4038,103.5192,102.3654,101.0577,101.2308,103.9038,101.3462,101.7308,100,100.5192,101.5962,101.6346,83
102.5962,101.4615,101.3654,101.1731,101.9808,102.1154,100.8654,100.1538,101.0962,102.75,100.25,101,101.3654,101.5577,101.1154,102.6346,84
101.6538,101.4808,101.2115,101.6346,101.9423,102.1154,100.3462,101.5,101.6923,104.8654,100.4808,102.5192,100.1538,101.1538,101.75,114.2885,85
101.8462,101.4038,101.8846,101.0385,102,101.9423,102.5192,101.1154,100.3269,103.8846,100.9808,102.2692,100.9231,101.1731,101.7885,102.4423,86
101.0385,100.1731,102,101.4423,102.0192,102.1538,101.4808,101.4615,101.75,102.7115,100.4615,101.8462,100.8462,101.4615,101.4615,103.9231,87
101.9423,100,101.3077,100.9231,101.75,102.8654,101.1538,100.5962,101.5,103.4423,100.25,114.2115,101.0192,100.7885,100.1538,102.25,88
101.5769,100.9615,100.7885,101.3654,101.6346,102.2308,101.4808,100.7692,101.7115,102.4038,100.9615,101.5962,101.0577,100.4808,100.4615,102.1346,89
101.75,100.5,101.8077,101.9231,101.9423,102.0962,101.25,100.6154,101.3077,103.2308,100.7308,102.1923,101.9615,101.5769,100.7692,103.6731,90
101.8269,101.8077,101.6923,101.25,101.75,102.6346,100.9231,100.2885,103.0192,103.3462,101.1923,102.4231,101.0769,100.8846,100.6923,103.3654,91
100.5769,101,101.8077,102.1731,101.6154,101.5385,101.3462,100.6346,103.4423,102.4615,100.5962,101.7115,100.3654,101,101.3654,101.8654,92
101.2308,100.9615,100.8077,101.3846,102.1154,103.1538,100.7692,100.6538,101.8846,103.6923,101.2885,102.2308,100.9615,100.3846,100.8654,103.2115,93
100.5192,101.1923,101.6923,101.1731,102.0962,101.9423,100.9808,100.9808,101.0962,104.8462,100.5385,102,102.8462,101.3269,100.5385,102.7692,94
102.5577,100.75,101.1538,101.8077,102.8846,103.0192,101.5192,101.1923,101.5769,102.6538,100.8077,102.25,101.7308,100.6923,100.5769,102.3269,95
100.5192,100.6731,101.4231,102.0385,102.4808,103.5192,101.0769,101.1538,101.1538,102.9423,100.2692,101.9423,100.8846,100.3654,101.6346,102.0577,96
102.3846,101.1346,101.3654,101.6154,102.5192,101.5962,101.3269,100.4038,101.6154,101.7885,100.5962,102.4423,100.9038,100.5577,101.1154,102.0962,97
102.9615,100.8462,102.3077,100.9808,102.2115,101.3077,101.1731,101.4038,101.5385,101.2308,99.9808,101.0577,100.5385,101.4038,100.6538,103.3654,98
102.8077,100.9615,100.25,101.2308,101.9808,102.4808,101.7308,102.4231,101.1923,102.7308,100.3846,102.3462,100.9231,100.4231,101.3269,102.1538,99
103.5192,100.3654,101.0192,101.3462,102.1154,102.5769,101.8269,100.6923,101.8077,102.2692,100.0385,101.3846,100.4423,100.3654,101.1923,100.9808,100
